"","X","ID","participantcode","participantlabel","participanttime_started","player","playerrandom_belief","belief","playerbenchmark_belief","belief_payoff","game_payoff","playerother_game_payoff","playerother_greedy","playerother_accepted_greedy","payoff","groupid_in_subsession","grouprandom_game","accept","offer","subsessiontot_fair","subsessiontot_accept","sessioncode","sessionlabel","gender","age","playercountry","playerdegree","playerjob","playermajor","playeryear_major","playercomp_1","playercomp_2","playercomments","playerwhy_choice","playergasp_1","playergasp_2","playergasp_3","playergasp_4","playergasp_5","playergasp_6","playergasp_7","playergasp_8","playergasp_9","playergasp_10","playergasp_11","playergasp_12","playergasp_13","playergasp_14","playergasp_15","playergasp_16","guilt_neg","guilt_rep","shame_neg","shame_wit","playeraquino_1","playeraquino_2","playeraquino_3","playeraquino_4","playeraquino_5","playeraquino_6","playeraquino_7","playeraquino_8","playeraquino_9","playeraquino_10","playeraquino_11","playeraquino_12","playeraquino_13","ER_index","ER_out","ER_in","CR_out","CR_in","RS","RS_s","RS_v","RS_f","RT","RT_t","RT_r","playerstaxi_1","playerstaxi_2","playerstaxi_3","playerstaxi_4","playerstaxi_5","playerstaxi_6","playerstaxi_7","playerstaxi_8","playerstaxi_9","playerstaxi_10","playerstaxi_11","playerstaxi_12","playerstaxi_13","playerstaxi_14","playerstaxi_15","playerstaxi_16","playerstaxi_17","playerstaxi_18","playerstaxi_19","playerstaxi_20","playerstaxi_21","playerstaxi_22","playerstaxi_23","playerstaxi_24","playerstaxi_25","playerstaxi_26","playerstaxi_27","playerstaxi_28","playerstaxi_29","playerstaxi_30","playerstaxi_31","playerstaxi_32","playerstaxi_33","playerstaxi_34","playerstaxi_35","playerstaxi_36","playerstaxi_37","playerstaxi_38","playerstaxi_39","playerstaxi_40","playerstaxi_41","playerstaxi_42","playerstaxi_43","playerstaxi_44","playerstaxi_45","playerstaxi_46","playerstaxi_47","playerstaxi_48","playerstaxi_49","playerstaxi_50","playerstaxi_51","playerstaxi_52","playerstaxi_53","playerstaxi_54","playerstaxi_55","playerstaxi_56","playerstaxi_57","participant__id_in_session","sec_offer","sec_accept","sec_belief","sessiontime_scheduled","sessiontime_started","aquino_mis","RS_s_norm","RS_v_norm","RS_f_norm","RS_norm","RT_t_norm","RT_r_norm","RT_norm","ER_index_norm","ER_out_norm","ER_in_norm","CR_out_norm","CR_in_norm","treat","unique_group","payoff_tr","payoff_profile","a_high","b_high","inequity_default","direct","final_payoff"
"166",298,"16_2_D1","w1fizw0z","pc21","2017-02-16 14:48:58.365600+00:00",2,NA,0.3,5,2,2,14,NA,NA,6,6,0.7253,NA,1,5,5,"gcuqszar",4,0,18,"Italiana","Diploma","Studente","Economia e Finanza",1,5,5,"","Analisi delle alternative corrispondenti a ""minacce non credibili""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,18,19,23,24,37,15,15,7,28,11,13,2,4,2,4,1,3,3,1,4,4,1,3,1,1,3,3,1,4,3,4,3,3,2,1,4,4,2,2,2,3,3,3,4,3,2,3,2,2,4,3,2,4,2,4,2,2,2,3,3,4,1,3,2,3,2,3,2,16,NA,3,18,NA,NA,NA,70,64,46,60,62,60,60,44,50,52,56,60,2,149,0,1,0,0,0,1,2
"167",299,"16_2_D1","hayzpafn","pc24","2017-02-16 14:49:08.877005+00:00",1,NA,0.85,83,10,8,8,6,5,14,7,0.666,NA,1,5,5,"gcuqszar",4,1,20,"italiana","Diploma","studentessa","CLEAM",2,5,5,"No.","Sono avversa al rischio dunque, essendo Giocatore 1, ho scelto l'offerta A. Per la Previsione, in linea con la mia avverisone al rischio, ho pensato che, la maggior parte, come me, avrebbe accettato i soldi a prescindere dalla convenienza.",7,5,7,2,6,7,2,1,7,6,6,1,6,5,6,7,6.5,5.75,6.5,1.5,5,4,4,5,5,4,5,3,3,4,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,41,NA,NA,4.23076915740967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,150,0,1,0,0,0,1,10
"168",300,"16_2_D1","pcqyow5h","pc19","2017-02-16 14:48:18.024831+00:00",2,NA,0.8,4,2,8,8,NA,NA,6,7,0.666,NA,1,5,5,"gcuqszar",4,1,20,"Italiana","Diploma di maturitÃ  scientifica","Studente","International Economics and Management",2,5,5,"","non ho scelto nel gioco, per quanto riguarda la previsione ho considerato che solitamente si Ã¨ risk averse per cui pensavo che l'80% dei partecipanti avrebbe scelto l'opzione sicura, ovvero la A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,8,20,26,30,16,6,5,5,16,5,9,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,4,3,1,1,1,1,1,4,1,4,4,2,1,4,1,4,1,3,4,4,1,4,2,4,1,4,4,1,1,4,1,4,1,4,1,4,1,3,3,4,NA,NA,12,NA,NA,NA,46,44,46,NA,38,48,40,32,30,56,62,68,2,150,0,1,0,0,0,1,2
"169",301,"16_2_D1","e47p9tkh","pc18","2017-02-16 14:48:13.230216+00:00",2,NA,0.7,4,2,8,8,NA,NA,12,8,0.3685,NA,1,5,5,"gcuqszar",4,1,20,"Italiana","Diploma di maturitÃ  scientifica","Studente","CLEAM",2,5,4,"Per esempio mettendo come offerta B: Accetto=14,5 e Rifiuto=0,2; in questo modo il giocatore 1 Ã¨ meno certo che il giocatore 2 accetterÃ  l'offerta","Nessuna dato che ho solo potuto accettare l'offerta A. In caso comunque avrei accettato l'offerta B, perchÃ¨ 2 Ã¨ meglio di 0.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,16,26,23,24,15,5,5,5,22,7,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,2,3,3,1,3,4,2,3,4,3,1,4,3,3,1,3,2,3,3,3,4,4,3,3,4,2,2,2,3,4,2,3,3,2,2,3,3,20,NA,NA,15,NA,NA,NA,42,44,46,42,48,56,54,54,52,70,54,56,2,151,0,1,0,0,0,1,8
"170",302,"16_2_D1","hjp7mpyy","pc8","2017-02-16 14:50:05.512318+00:00",1,NA,0.2,83,2,8,8,6,5,12,8,0.3685,NA,1,5,5,"gcuqszar",4,1,19,"Italiana","Diploma di maturitÃ ","Studente","Biem",1,5,4,"","Ho preferito un guadagno sicuro per me (8â‚¬) anzichÃ¨ un guadagno superiore ma incerto (14â‚¬).",3,7,6,1,6,6,4,1,6,6,7,1,6,6,7,5,5,6.75,6,1.75,4,3,4,5,3,3,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,6,NA,9,NA,NA,2.38461542129517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,151,0,1,0,0,0,1,8
"171",303,"16_2_D1","jxi1mku3","pc25","2017-02-16 14:49:12.959669+00:00",2,NA,0.4,5,2,2,14,NA,NA,6,9,0.4093,NA,1,5,5,"gcuqszar",4,1,21,"Italiana","Diploma","Studentessa","Economia e Management",2,5,4,"","Ho fatto scelte che mi assicuravano un guadagno certo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,13,27,24,25,25,14,5,6,21,4,14,3,3,3,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,4,4,1,2,2,1,4,3,2,3,4,4,2,3,4,3,1,4,3,4,2,4,3,4,2,4,3,1,1,3,3,2,1,1,4,4,2,3,3,8,NA,6,9,NA,NA,NA,76,44,50,58,34,66,52,50,44,72,56,58,2,152,0,1,0,0,0,1,2
"172",304,"16_2_D1","wu9i5na6","pc5","2017-02-16 14:49:49.842747+00:00",1,NA,0.75,80,10,14,2,5,4,18,9,0.4093,NA,1,5,5,"gcuqszar",4,1,21,"italiana","diploma","studente","cleam",2,5,5,"no.","ho scelto l'offerta B perchÃ¨ secondo me qualsiasi giocatore 2 avrebbe accettato, perchÃ¨ vale la logica del ""meglio 2â‚¬ di niente"".",6,7,7,2,6,7,2,1,6,6,7,2,7,4,6,5,5.25,6.5,6.75,1.75,4,4,4,4,4,4,5,3,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,6,NA,21,NA,NA,3.53846144676208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,152,0,1,0,0,0,1,14
"173",305,"16_2_D1","dnnkvke8","pc10","2017-02-16 14:49:57.402445+00:00",2,NA,0.7,4,2,8,8,NA,NA,12,10,0.1537,1,0,5,5,"gcuqszar",4,0,20,"Italia","Diploma","Studente","BIEM",2,5,4,"Credo che l'esperimento sia molto utile ed interessate, forse andrebbe complicato leggermente introducendo nuove variabili e maggiore incertezza. I risultati sono stati imprevisti per quanto mi riguarda e quindi comprendo in pieno quanto potrebbe essere interessante andare ancora piÃ¹ in fondo, magari aumentando il numero di offerte.","Essendo il giocatore 2 non ho avuto modo di scegliere.  Se fossi stato il Giocatore 1, avrei probabilmente scelto l'Offerta B ma non per il payoff maggiore ma perchÃ¨ avrei pensato potesse rendere le previsioni degli altri sbagliate.  Se il Giocatore 1 avesse scelto l'Opzione B, secondo un ragionamento lineare sarei stato portato a Rifiutare in quanto c'era una ""unadequate distribution"". PerÃ², per lo stesso motivo detto prima, avrei Accettato solo per aumentare l'incertezza e l'inesattezza della previsione. E' ovvio che la scelta Ã¨ fatta anche (se non soprattutto) in base alla previsione e quindi il giocatore Ã¨ portato a preferire o una adeguata distribuzione oppure una perdita dell'altro, anche a costo di perdere lui (avendo payoff minimi). Per questo potrebbe anche essere interessante chiedere di fare la previsione solo DOPO aver giocato,e le stesse instruzioni circa la previsione potrebbero essere lette solo successivamente e non svelate prima.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,14,32,28,24,19,6,8,5,25,7,16,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,3,4,4,1,1,4,1,4,4,2,3,4,4,2,3,4,4,1,2,4,4,4,4,4,4,2,3,4,2,1,3,4,4,1,3,4,4,1,3,4,22,NA,NA,14,NA,NA,NA,46,50,44,46,48,72,58,52,44,82,64,56,2,153,0,1,0,0,0,1,8
"174",306,"16_2_D1","n2b2rs18","pc1","2017-02-16 14:49:33.239530+00:00",1,NA,0.8,83,10,8,8,6,5,12,10,0.1537,1,0,5,5,"gcuqszar",4,1,22,"Italiana","Laurea Magistrale","Studente","Gio",1,5,5,"","Preferivo vincer sicuramente 8 che rischiare di vincere niente. Io al posto del giocatore 2, avrei rifiutato la scelta B quindi ho giocato di conseguenza.",7,7,7,1,4,5,2,1,7,7,5,3,7,6,5,6,6.5,5.25,6.5,1.75,5,5,4,5,5,3,4,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,9,NA,68,NA,NA,3.07692313194275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,153,0,1,0,0,0,1,8
"175",307,"16_2_D1","a5a7agte","pc3","2017-02-16 14:49:41.174436+00:00",1,NA,0.75,80,10,14,2,5,4,18,11,0.2977,NA,1,5,5,"gcuqszar",4,0,20,"Italiana","MaturitÃ  classica","Studente","CLEAM",1,5,5,"Aumentare se possibile la durata dell'esperimento.","Ho scelto l'offerta B supponendo che per il giocatore 2 2 euro sarebbero stati meglio di 0 in caso di retribuzione in base al gioco.",6,7,7,1,5,7,4,5,7,7,7,2,7,6,7,6,6.25,6.5,7,3,4,4,3,5,4,4,4,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,4,NA,24,NA,NA,2.69230771064758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,154,0,1,0,0,0,1,14
"176",308,"16_2_D1","azp5ac5t","pc23","2017-02-16 14:48:25.597067+00:00",2,NA,0.9,5,2,2,14,NA,NA,6,11,0.2977,NA,1,5,5,"gcuqszar",4,0,19,"ITALIANA","DIPLOMA LICEO CLASSICO","NESSUNA","CLEAM",2,5,5,"Fare piÃ¹ di una sessione, e inoltre l'esito ricade esclusivamente sul volere e la decisione del giocatore 1, mentre il giocatore 2 subisce passivamente la volontÃ  del giocatore 1.","Sono stato troppo avventato ed ho fatto una previsione errata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,18,19,19,28,24,12,7,5,26,9,14,1,4,2,1,1,1,1,1,3,4,1,1,1,1,1,2,2,3,4,4,2,2,4,1,2,4,2,4,1,1,4,4,1,3,1,3,3,3,3,3,2,3,1,3,1,2,1,4,4,2,3,4,3,3,3,3,4,12,NA,12,27,NA,NA,NA,62,46,40,48,54,64,58,44,50,52,48,68,2,154,0,1,0,0,0,1,2
"177",309,"21_2_D2_I","5idkpr89","pc3","2017-02-21 08:31:13.437928+00:00",1,NA,0.6,67,10,14,2,6,4,18,1,0.0653,NA,1,4,5,"ihtrombf",10,1,20,"Italiana","Diploma","Studentessa","Cleam-Corso di laurea in economia e managemet",2,4,5,"Si puÃ² precisare nelle istruzioni che i giocatori dovranno effettuare una e una sola scelta.","Logica di maggior guadagno.",3,7,1,2,4,5,3,1,7,2,7,4,7,7,7,6,5.75,6.25,3.75,2.5,5,4,3,5,5,4,5,4,3,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28,NA,46,NA,NA,3.76923084259033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,155,1,2,0,1,1,1,14
"178",310,"21_2_D2_I","thl8ucoq","pc10","2017-02-21 08:31:38.464397+00:00",2,NA,0.3,4,2,2,14,NA,NA,6,1,0.0653,NA,1,4,5,"ihtrombf",10,0,20,"Italiana","Diploma","Studente","CLEAM",2,5,3,"No","Rifiutare l'offerta non avrebbe portato alcun guadagno, nÃ¨ a me nÃ¨ all'altro membro della coppia, e non avrebbe avuto senso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,16,12,21,22,19,7,7,5,20,7,9,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,3,2,3,2,3,2,1,2,3,1,2,1,3,3,3,2,2,2,2,1,3,4,3,1,3,2,3,1,2,1,3,2,4,1,3,2,3,2,3,2,16,NA,6,35,NA,NA,NA,50,48,44,46,48,48,48,44,50,38,50,52,4,155,1,2,0,1,1,1,2
"179",311,"21_2_D2_I","ps105hkz","pc24","2017-02-21 08:30:06.479848+00:00",1,NA,0.38,71,2,8,11,7,5,6,2,0.7584,1,0,4,5,"ihtrombf",10,0,19,"Italiana","Diploma","Studente","Economia",2017,3,3,"","Ho pensato che molti giocatori avrebbero scelto l'offerta B ma che questa sarebbe stata rifiutata dall'altro giocatore e per questo motivo ho scelto l'offerta A",6,7,6,2,6,3,1,2,4,2,5,1,6,5,7,6,5.25,6.25,4.25,1.5,4,3,3,5,5,3,2,1,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,NA,18,NA,NA,2.8461537361145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,156,1,2,0,1,1,1,2
"180",312,"21_2_D2_I","x1ap0gah","pc18","2017-02-21 08:29:02.401042+00:00",2,NA,0.8,3,2,11,8,NA,NA,6,2,0.7584,1,0,4,5,"ihtrombf",10,1,18,"Italiana","Diploma","Studente","CLEAM",1,5,4,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,15,16,15,23,18,8,5,5,23,9,11,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,3,1,2,2,1,4,3,2,3,3,2,4,3,2,3,1,2,2,2,1,4,2,1,3,3,2,1,2,2,3,2,1,3,1,2,1,3,1,22,NA,NA,9,NA,NA,NA,52,40,44,44,54,56,54,48,46,46,38,56,4,156,1,2,0,1,1,1,2
"181",313,"21_2_D2_I","3mgc9jlh","pc9","2017-02-21 08:31:57.260276+00:00",2,NA,0.7,3,2,11,8,NA,NA,15,3,0.3265,NA,1,4,5,"ihtrombf",10,0,19,"italiana","diploma","studente","clef",1,5,4,"","non ho dovuto fare scelte in quanto il giocatore 1 ha scelto l'offerta A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,15,18,20,21,28,12,8,8,23,8,12,2,3,2,2,2,2,3,1,2,3,1,1,1,1,2,2,2,2,3,3,2,2,2,1,4,3,2,2,3,3,2,3,2,2,1,3,1,3,3,3,2,3,1,2,3,1,2,3,3,3,2,2,2,3,2,3,2,10,NA,NA,7,NA,NA,NA,62,48,48,52,50,58,52,46,44,50,50,54,4,157,1,2,0,1,1,1,11
"182",314,"21_2_D2_I","ipljkb7c","pc21","2017-02-21 08:29:53.265936+00:00",1,NA,0.7,71,10,8,11,7,5,12,3,0.3265,NA,1,4,5,"ihtrombf",10,1,20,"italiana","diploma liceo","studente","biem",1,5,5,"","il guadagno dell'offerta 2 era di (14+0)/2=7 che Ã¨ minore di 8 (offerta a)",4,6,6,3,5,6,4,2,6,7,4,2,2,2,5,2,3.5,5,5.25,2.75,5,4,3,5,4,2,1,1,1,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,NA,9,NA,NA,2.69230771064758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,157,1,2,0,1,1,1,8
"183",315,"21_2_D2_I","37h8qqc7","pc5","2017-02-21 08:31:23.526884+00:00",2,NA,0.2,3,2,11,8,NA,NA,6,4,0.9361,0,0,4,5,"ihtrombf",10,0,18,"Italiana","Diploma classico","studente","CLEAM",1,5,5,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,19,19,16,11,60,20,20,20,27,7,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,3,4,2,3,3,3,4,2,3,1,2,3,2,1,3,2,1,1,1,3,3,2,2,3,1,2,3,2,2,2,1,1,3,1,4,2,4,1,3,4,NA,NA,19,NA,NA,NA,84,76,74,82,48,64,58,62,54,52,42,34,4,158,1,2,0,1,1,1,2
"184",316,"21_2_D2_I","742enllj","pc23","2017-02-21 08:29:44.229536+00:00",1,NA,0.23,71,2,8,11,7,5,6,4,0.9361,0,0,4,5,"ihtrombf",10,0,20,"italiana","diploma scientifico","studente","CLEAM",2,5,4,"","sicurezza del guadagno",3,6,4,1,4,4,2,1,5,3,5,3,5,5,3,3,4,4.5,4,1.75,5,4,4,4,5,4,3,2,4,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,9,NA,75,NA,NA,3.46153855323792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,158,1,2,0,1,1,1,2
"185",317,"21_2_D2_I","0lfz91i2","pc7","2017-02-21 08:32:13.634387+00:00",1,NA,0.35,71,2,8,11,7,5,12,5,0.4131,NA,1,4,5,"ihtrombf",10,1,18,"italiana","diploma","studente","economics and management",3,5,4,"Introdurre una demo.","Piuttosto che rischiare di non guadagnare nulla, ho scelto di proporre l'offerta A per un pagamento sicuro.",6,7,7,1,6,6,1,2,5,7,7,2,7,6,7,7,6,6.75,6.75,1.5,5,5,5,5,5,5,4,2,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5,NA,22,NA,NA,4.46153831481934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,159,1,2,0,1,1,1,8
"186",318,"21_2_D2_I","svygw3yp","pc4","2017-02-21 08:34:00.798833+00:00",2,NA,0,3,2,11,8,NA,NA,15,5,0.4131,NA,1,4,5,"ihtrombf",10,0,22,"Italiana","Laurea Triennale in economia e finanza","Studente","MSc Finance",1,5,5,"Penso che le scelte, e quindi i payoff da queste determinati, siano sproporzionalmente a favore del giocatore 1 sia nella scelta tra A e B, sia nel pagamento della previsione, dove il giocatore 1 ha una disuguaglianza invece di un'uguaglianza a determinare il payoff ed ha quindi piÃ¹ probabilitÃ  di ottenere 10 come payoff.","La mia previsione Ã¨ stata dettata dal ragionamento che avrei fatto io se fossi stato giocatore A. Infatti avrei scelto l'offerta B in quanto avrebbe garantito a me payoff maggiori e sarei stato quasi sicuro che il giocatore 2 l'avrebbe accettata in quanto il suo rifiuto avrebbe portato minori payoff anche a lui e non ne avrebbe avuto convenienza.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,11,16,26,26,15,5,5,5,11,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,2,2,3,4,2,4,2,3,1,3,1,4,2,4,3,4,1,3,1,1,1,4,2,3,1,3,2,4,1,3,2,6,NA,NA,57,NA,NA,NA,42,42,44,42,36,34,32,36,38,48,60,60,4,159,1,2,0,1,1,1,11
"187",319,"21_2_D2_I","bjwr9u31","pc22","2017-02-21 08:29:49.384911+00:00",2,NA,0.4,4,10,0,0,NA,NA,4,6,0.2106,1,0,4,5,"ihtrombf",10,0,19,"Italiana","Esame di maturitÃ ","Studente","Economia e finanza",1,5,4,"","Dal momento che il giocatore 1 della mia coppia ha deciso di proporre l'offerta B pensando solo al suo guadagno e mostrando un'eccessiva propensione al rischio, ho deciso di declinarla.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,12,17,20,24,18,7,6,5,18,6,9,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,2,1,2,2,1,2,4,1,4,3,3,2,3,2,1,1,2,2,2,2,3,2,4,1,3,1,1,2,3,3,2,1,3,2,4,2,3,2,12,NA,6,20,NA,NA,NA,48,44,40,42,44,48,44,40,38,48,50,60,4,160,1,2,0,1,1,1,0
"188",320,"21_2_D2_I","lrkfafm4","pc2","2017-02-21 08:31:07.215053+00:00",1,NA,0.45,83,2,0,0,6,5,4,6,0.2106,1,0,4,5,"ihtrombf",10,0,19,"Italiana","Diploma Liceo Scientifico","Studente","CLEF",1,5,4,"PiÃ¹ di un tentativo","Induzione all'indietro",5,3,1,1,6,5,5,1,4,4,7,2,6,3,3,6,4.5,4.75,4,2.25,5,3,4,5,3,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,NA,25,NA,NA,2.92307686805725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,160,1,2,0,1,1,1,0
